00000000000100000101011100,11111111111110110111011100
00000000000100001101011100,11111111111101101011001000
00000000000100010011110101,11111111111101000110001111
00000000000100011110000101,11111111111100101001001000
00000000000100100110100011,11111111111100011000111011
00000000000100101100010100,11111111111100010010000101
00000000000100110000010100,11111111111100010001111010
00000000000100110001100110,11111111111100010010111110
00000000000100110100010100,11111111111100011000111111
00000000000100111010001111,11111111111100100001101111
00000000000101000000111101,11111111111100101001001000
00000000000101001001010001,11111111111100100010101001
00000000000101001101011100,11111111111100100100101011
00000000000101010001000111,11111111111100100100010011
00000000000101010010100011,11111111111100111110101111
00000000000101011000001010,11111111111101011100110100
00000000000101100000001010,11111111111101011010111001
00000000000101101000111101,11111111111101100100110100
00000000000101101110101110,11111111111101111001000001
00000000000101111001011100,11111111111101100101010110
00000000000101111111010111,11111111111101011111000010
00000000000110000001111010,11111111111101011010111100
00000000000110000000001010,11111111111101100100010001
00000000000110000101110000,11111111111101110110110100
00000000000110001101100110,11111111111110000110000100
00000000000110010111000010,11111111111110010111111000
00000000000110100000110011,11111111111110001100101100
00000000000110100011000010,11111111111110001101000100
00000000000110100110101110,11111111111110000110110001
00000000000110100011010111,11111111111110011000001100
00000000000110011111010111,11111111111111001000111111
00000000000110100011100001,11111111111110101000110001
00000000000110100000011110,11111111111111001001010000
00000000000110100101111010,11111111111110111001011000
00000000000110101010000101,11111111111111001101011001
00000000000110101101111010,11111111111111011000001100
00000000000110110010011001,11111111111111011111100100
00000000000110110011101011,11111111111111011110101011
00000000000110110011110101,11111111111111100000001000
00000000000110110101110000,11111111111111011010110111
00000000000110101110101110,11111111111111111100101000
00000000000110100111110101,00000000000000001010011111
00000000000110100001100110,00000000000000000111111101
00000000000110011000010100,00000000000000011100111100
00000000000110011000111101,00000000000000100111100001
00000000000110011001110000,00000000000000110001110000
00000000000110011000110011,00000000000000100110010000
00000000000110010100001010,00000000000000011110100100
00000000000110001101011100,00000000000000100100011111
00000000000110000100011110,00000000000001000001010010
00000000000110000011010111,00000000000001000010111110
00000000000101111001011100,00000000000001010001000100
00000000000101110100011110,00000000000001001100100011
00000000000101110110100011,00000000000001000111111001
00000000000101110011000010,00000000000001000001100100
00000000000101110011010111,00000000000000111000111100
00000000000101110010100011,00000000000001001100000001
00000000000101101101010001,00000000000001000011010000
00000000000101101100101000,00000000000001010010110011
00000000000101101010011001,00000000000001101010010000
00000000000101101000011110,00000000000001011011100101
00000000000101100110100011,00000000000001101010110011
00000000000101100010111000,00000000000010001001010011
00000000000101011110100011,00000000000010000111010011
00000000000101011100000000,00000000000001110010010111
00000000000101010111101011,00000000000001101111101000
00000000000101010100010100,00000000000001101001001110
00000000000101001111100001,00000000000001110010100111
00000000000101000111110101,00000000000010000111111101
00000000000101000001100110,00000000000010011001001001
00000000000100111010001111,00000000000010010110000000
00000000000100110000010100,00000000000010010011100111
00000000000100100011010111,00000000000010000011010100
00000000000100010100010100,00000000000001111001010101
00000000000100000000011110,00000000000010001010001011
00000000000011100111100001,00000000000010011110000001
00000000000011010101100110,00000000000010111000111010
00000000000011000100010100,00000000000010110110000001
00000000000010110111000010,00000000000010101111000111
00000000000010101011000010,00000000000010100001101101
00000000000010100000111101,00000000000010001011111100
00000000000010011000010100,00000000000001111001001111
00000000000010001101011100,00000000000001111101011111
00000000000010000000111101,00000000000010100011100001
00000000000001110100111101,00000000000011010001100011
00000000000001101100110011,00000000000011011011110110
00000000000001100101010001,00000000000011010100010011
00000000000001011101010001,00000000000010101101110110
00000000000001010101010001,00000000000001111001100001
00000000000001001011101011,00000000000001001110000111
00000000000000111110111000,00000000000001000000100001
00000000000000101101011100,00000000000001010011010101
00000000000000010111001100,00000000000001101010100111
00000000000000000011100001,00000000000001110011001110
11111111111111110011011000,00000000000001100111011011
11111111111111100111001101,00000000000001100001110111
11111111111111011110010000,00000000000001010010000100
11111111111111010111001101,00000000000001000100111011
11111111111111001111101100,00000000000000111101000011
11111111111111000101110001,00000000000000111110001101
11111111111110111001010010,00000000000001000010010111
11111111111110101100111110,00000000000000110000100001
11111111111110011110011010,00000000000000101000001111
11111111111110010001111011,00000000000000011100111111
11111111111110000100001011,00000000000000100011010000
11111111111101111010101111,00000000000000011000010110
11111111111101110001111011,00000000000000000100101111
11111111111101101001100111,11111111111111110111100001
11111111111101011110010000,11111111111111110000110000
11111111111101010001100111,11111111111111100010110001
11111111111101000101001000,11111111111111010101000101
11111111111100111001110001,11111111111111000110111101
11111111111100101101100111,11111111111111000000111110
11111111111100100010010000,11111111111111001100101111
11111111111100011011001101,11111111111111010001110100
11111111111100011000000000,11111111111110111111111100
11111111111100010110100100,11111111111110101000101101
11111111111100010000011111,11111111111110100010110111
11111111111100000101111011,11111111111110100111010000
11111111111011111001111011,11111111111110101100101010
11111111111011110011000011,11111111111110101000001111
11111111111011101111100010,11111111111110100001111001
11111111111011110010010000,11111111111110000111000001
